"${0} ${1} already exists.","${0} ${1} existe déjà.",
"${0} ${1} has been modified after loading","${0} ${1} a été modifié après le chargement.",
"${0} ${1} is linked with existing records.","${0} ${1} est lié à des enregistrements existants.",
"${0} already exists.","${0} existe déjà.",
"${0} filters applied","${0} filtres appliqués",
"${0} out of ${1}","${0} parmi ${1}",
"${0} rows","${0} lignes",
"* required fields","* champs requis",
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtre appliqué",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23/03/2022,,
9888900000,"06 12 34 56 78",
Account,Compte,
"Account Entries","Entrées de compte",
"Account Name","Nom du compte",
"Account Type","Type de compte",
"Accounting Ledger Entry","Entrée dans le registre comptable",
"Accounting Settings","Paramètres de comptabilité",
Accounts,Comptes,
"Accounts Payable","Comptes créditeurs",
"Accounts Receivable","Comptes débiteurs",
"Accumulated Depreciation","Amortissement cumulé",
"Add Account","Ajouter un compte",
"Add Customers","Ajouter des clients",
"Add Group","Ajouter un groupe",
"Add Items","Ajouter des éléments",
"Add Row","Ajouter une ligne",
"Add Suppliers","Ajouter des fournisseurs",
"Add Taxes","Ajouter des taxes",
"Add a few customers to create your first sales invoice","Ajoutez quelques clients pour créer votre première facture de vente",
"Add a few suppliers to create your first purchase invoice","Ajoutez quelques fournisseurs pour créer votre première facture d'achat",
"Add a filter","Ajouter un filtre",
"Add a remark","Ajouter une remarque",
"Add invoice terms","Ajouter votre politique de vente",
"Add products or services that you buy from your suppliers","Ajoutez des produits ou services que vous achetez à vos fournisseurs",
"Add products or services that you sell to your customers","Ajouter les produits ou services que vous vendez à vos clients",
Address,Adresse,
"Address Display","Affichage de l'adresse",
"Address Line 1","Ligne d'adresse 1",
"Address Line 2","Ligne d'adresse 2",
"Administrative Expenses","Dépenses administratives",
All,Tout,
Amount,Montant,
"Amount (Company Currency)","Montant (devise utilisée par la société)",
"Amount Paid","Montant payé",
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Le montant : ${0} et la déduction fiscale de : ${1} est inférieur au montant total alloué aux références : ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Le montant : ${0} est inférieur au montant total alloué aux références : ${1}.",
"An error occurred.","Une erreur s'est produite.",
"Application of Funds (Assets)","Application des fonds (bien actifs)",
Arial,,
"Ascending Order","Ordre Croissant",
Asset,"Bien actif",
"Assign Imported Labels","Assigner les étiquettes importées",
"Bad import data.","Mauvaises données importées.",
Balance,Balance,
"Balance Sheet","Bilan Comptable",
Bank,Banque,
"Bank Accounts","Comptes bancaires",
"Bank Entry","Entrée bancaire",
"Bank Name","Nom de la banque",
"Bank Overdraft Account","Découvert bancaire",
"Based On","Basé sur",
Basic,Basique,
Bill,Facture,
"Bill Created","Facture créée",
"Bill No","Facture N°",
Black,Noir,
Blue,Bleu,
Both,"Les deux",
Buildings,Bâtiments,
Business,Entreprise,
Cancel,Annuler,
"Cancel ${0} ${1}?","Annuler ${0} ${1} ?",
Cancelled,Annulé,
"Cannot Delete","Impossible à supprimer",
"Cannot delete ${0} ${1} because of linked entries.","Impossible de supprimer ${0} ${1} à cause des entrées liées.",
"Capital Equipments","Biens d'équipement",
"Capital Stock","Capital social",
Cash,Espèces,
"Cash Entry","Entrée d'argent",
"Cash In Hand","Liquidités en main",
Cashflow,"Flux d'argent",
"Central Tax","Impôt global",
"Change DB","Changer la BDD",
"Change File","Changer le ficher",
"Change Ref Type","Changer le type de référence",
Chargeable,Facturable,
"Chart Of Accounts Reviewed","Graphique du compte sélectionné",
"Chart of Accounts","Graphique des comptes",
Cheque,Chèque,
"City / Town","Ville / Village",
Clear,Effacer,
"Clearance Date","Date d'autorisation",
"Click to create","Cliquez pour créer",
Close,Fermer,
"Close Frappe Books and try manually","Fermez Frappe Books et essayez manuellement",
Closing,Fermeture,
"Closing (Cr)","Fermeture (Cr)",
"Closing (Dr)","Fermeture (Dr)",
Collapse,Réduire,
Color,Couleur,
"Commission on Sales","Commission sur les ventes",
Common,Autres,
"Common Items","Autres items",
"Company Address","Adresse de l'entreprise",
"Company Logo","Logo de l'entreprise",
"Company Name","Nom de l'entreprise",
"Company Settings","Paramètres de l'entreprise",
"Company Setup","Création d'entreprise",
Completed,Complété,
Condition,,
"Consolidate Columns","Consolider les colonnes",
Contains,Contient,
"Contra Entry","Entrée contrat",
"Cost of Goods Sold","Coût des marchandises vendues",
"Could not import ${0} ${1}.","Nous n'avons pas pu importer ${0} ${1}.",
"Could not select file.","Nous n'avons pas pu sélectionner le fichier.",
Country,Pays,
"Country Code","Code du Pays",
"Country code used to initialize regional settings.","Code du Pays utilisé pour initialiser les réglages régionaux.",
Courier,,
Cr.,,
Create,Créer,
"Create Demo","Créer une démo",
"Create Purchase","Créer un achat",
"Create Purchase Invoice","Créer une facture d'achat",
"Create Sale","Créer une vente",
"Create Sales Invoice","Créer une facture de vente",
"Create a new file and store it in your computer.","Créer un nouveau fichier et l'enregistrer sur votre ordinateur.",
"Create a new file or select an existing one from your computer","Créer un nouveau fichier ou sélectionner un fichier existant sur votre ordinateur.",
"Create your first purchase invoice from the created supplier","Créer votre première facture d'achat liée au fournisseur que vous venez de créer",
"Create your first sales invoice for the created customer","Créer votre première facture de vente liée au client que vous venez de créer",
Created,Créé,
"Created By","Créé par",
"Creating Items and Parties","Créer des items et des partis",
"Creating Journal Entries","Créer des entrées dans le livre des comptes",
"Creating Purchase Invoices","Création de factures d'achats",
Credit,Crédit,
"Credit Card Entry","Entrée Carte de Crédit",
"Credit Note",Avoir,
Creditors,Créanciers,
Currency,Devise,
"Currency Name","Nom de la devise",
Current,Actuel,
"Current Assets","Actifs courants",
"Current Liabilities","Passifs courants",
"Custom Hex","Hexadécimal custom",
Customer,Client,
"Customer Created","Client créé",
"Customer Currency","Monnaie du client",
Customers,Clients,
Customise,Personnaliser,
"Customize your invoices by adding a logo and address details",Personnalisez vos factures en y ajoutant votre logo et adresse,
Dashboard,"Tableau de bord",
"Data Import","Importation de données",
"Database file: ${0}","Fichier de base de données : ${0}",
Date,,
"Date Format","Format de la date",
Debit,Débit,
"Debit Note","Note de débit",
Debtors,Débiteurs,
"Default Account","Compte par défaut",
Delete,Supprimer,
"Delete ${0} ${1}?","Supprimer ${0} ${1} ?",
"Delete ${0}?","Supprimer ${0} ?",
"Delete Failed","Suppression échouée",
Depreciation,Amortissement,
"Depreciation Entry","Entrée d'amortissement",
Description,,
Details,Détails,
"Direct Expenses","Dépenses directes",
"Direct Income","Revenu direct",
Discount,Réduction,
"Discount Account","Compte des réductions",
"Discount Account is not set.","Le compte des réductions n'est pas défini.",
"Discount After Tax","Réduction après taxes",
"Discount Amount","Montant de la réduction",
"Discount Amount (${0}) cannot be greated than Amount (${1}).","Le montant de la réduction (${0}) ne peut pas être plus grand que le montant (${1}).",
"Discount Percent","Pourcentage de réduction",
"Discount Percent (${0}) cannot be greater than 100.","Le pourcentage de réduction ne peut pas être plus grand que 100",
"Discount applied after taxation","Réduction appliquée après taxes",
"Discount applied before taxation","Réduction appliquée après taxes",
"Discounted Amount","Montant de la réduction",
Discounts,"Réductions",
"Display Logo in Invoice","Afficher le logo sur la facture",
"Display Precision","Précision de l'affichage",
"Display Precision should have a value between 0 and 9.","La précision de l'affichage doit avoir une valeur comprise entre 0 et 9.",
"Dividends Paid","Dividendes versées",
Docs,Documents,
