${0},${0}
${0} ${1} already exists.,${0} ${1} पहले से मौजूद है।
${0} ${1} does not exist,${0} ${1} मौजूद नहीं है
${0} ${1} has been modified after loading please reload entry.,${0} ${1} को लोड करने के बाद संशोधित किया गया है कृपया प्रविष्टि पुनः लोड करें।
${0} ${1} is linked with existing records.,${0} ${1} मौजूदा रिकॉर्ड से जुड़ा हुआ है।
${0} account not set in Inventory Settings.,${0} खाता इन्वेंट्री सेटिंग में सेट नहीं है।
${0} already saved,${0} पहले से सहेजा गया है
${0} already submitted,${0} पहले से सबमिट किया गया है
${0} cancelled,${0} रद्द किया गया
${0} cannot be cancelled,${0} रद्द नहीं किया जा सकता
${0} cannot be deleted,${0} हटाया नहीं जा सकता
${0} deleted,${0} हटाया गया
${0} entries failed,${0} प्रविष्टियाँ विफल
${0} entries imported,${0} प्रविष्टियाँ आयात की गईं
${0} entry failed,${0} प्रविष्टि विफल
${0} entry imported,${0} प्रविष्टि आयात की गईं
${0} fields selected,${0} फ़ील्ड चयनित
${0} filters applied,${0} फ़िल्टर लागू किए गए
${0} has linked child accounts.,${0} ने चाइल्ड अकाउंट लिंक किए हैं।
${0} of type ${1} does not exist,${1} प्रकार का ${0} मौजूद नहीं है
${0} out of ${1},${1} में से ${0}
${0} party ${1} is different from ${2},${0} पार्टी ${1} ${2} से भिन्न है
${0} quantity 1 added.,${0} मात्रा 1 जोड़ी गई।
${0} row added.,${0} पंक्ति जोड़ी गई।
${0} rows,${0} पंक्तियाँ
${0} rows added.,${0} पंक्तियाँ जोड़ी गईं।
${0} saved,${0} सहेजे गए
${0} shortcuts,${0} शॉर्टकट
${0} stored at ${1},${0} ${1} पर संग्रहीत
${0} submitted,${0} सबमिट किए गए
${0} value ${1} does not exist.,${0} मान ${1} मौजूद नहीं है।
0%,0%
03-23-2022,03-23-2022
03/23/2022,03/23/2022
1 filter applied,1 फ़िल्टर लागू किया गया
2022-03-23,2022-03-23
"23 Mar, 2022","23 मार्च, 2022"
23-03-2022,23-03-2022
23.03.2022,23.03.2022
23/03/2022,23/03/2022
9888900000,9888900000
A submittable entry is deleted only if it is in the cancelled state.,सबमिट करने योग्य प्रविष्टि केवल तभी हटाई जाती है जब वह रद्द की गई स्थिति में हो।
Account,खाता
Account ${0} does not exist.,खाता ${0} मौजूद नहीं है।
Account Entries,खाता प्रविष्टियाँ
Account Name,खाता नाम
Account Type,खाता प्रकार
Accounting,लेखांकन
Accounting Entries,लेखांकन प्रविष्टियाँ
Accounting Ledger Entry,लेखांकन खाता बही प्रविष्टि
Accounting Settings,लेखांकन सेटिंग
Accounts,खाते
Accounts Payable,देय खाते
Accounts Receivable,प्राप्य खाते
Accumulated Depreciation,संचित मूल्यह्रास
Action,कार्रवाई
Active,सक्रिय
Add Account,खाता जोड़ें
Add Customers,ग्राहक जोड़ें
Add Group,समूह जोड़ें
Add Items,आइटम जोड़ें
Add Row,पंक्ति जोड़ें
Add Suppliers,आपूर्तिकर्ता जोड़ें
Add Taxes,कर जोड़ें
Add a few customers to create your first sales invoice,अपना पहला बिक्री चालान बनाने के लिए कुछ ग्राहक जोड़ें
Add a few suppliers to create your first purchase invoice,अपना पहला खरीद चालान बनाने के लिए कुछ आपूर्तिकर्ता जोड़ें
Add a filter,फ़िल्टर जोड़ें
Add a remark,टिप्पणी जोड़ें
Add attachment,अनुलग्नक जोड़ें
Add invoice terms,चालान शर्तें जोड़ें
