${0},,
"${0} ${1} already exists.","${0} ${1} já existe.",
"${0} ${1} does not exist",,
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} está ligado aos registos existentes.",
"${0} account not set in Inventory Settings.",,
"${0} already saved",,
"${0} already submitted",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected",,
"${0} filters applied","${0} filtros aplicados",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist",,
"${0} out of ${1}",,
"${0} party ${1} is different from ${2}",,
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows",,
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.",,
0%,,
03-23-2022,,
03/23/2022,,
"1 filter applied","1 filtro aplicado",
2022-03-23,,
"23 Mar, 2022",,
23-03-2022,,
23.03.2022,,
23/03/2022,,
9888900000,,
"A submittable entry is deleted only if it is in the cancelled state.",,
Account,Conta,
"Account ${0} does not exist.",,
"Account Entries","Entradas de conta",
"Account Name","Nome da conta",
"Account Type","Tipo de conta",
Accounting,,
"Accounting Entries",,
"Accounting Ledger Entry",,
"Accounting Settings","Configurações de contabilidade",
Accounts,Contas,
"Accounts Payable","Contas a pagar",
"Accounts Receivable","Contas a Receber",
"Accumulated Depreciation","Depreciação Acumulada",
Action,,
Active,,
"Add Account","Adicionar conta",
"Add Customers","Adicionar clientes",
"Add Group","Adicionar grupo",
"Add Items","Adicionar artigos",
"Add Row","Adicionar Fileira",
"Add Suppliers","Adicionar Fornecedores",
"Add Taxes","Acrescentar Impostos",
"Add a few customers to create your first sales invoice",,
"Add a few suppliers to create your first purchase invoice",,
"Add a filter","Acrescentar um filtro",
"Add a remark",,
"Add attachment",,
"Add invoice terms",,
"Add products or services that you buy from your suppliers",,
"Add products or services that you sell to your customers",,
"Add transfer terms",,
"Add'l Discounts",,
"Additional ${0} Serial Numbers required for ${1} quantity of ${2}.",,
"Additional quantity (${0}) required${1} to make outward transfer of item ${2} from ${3} on ${4}",,
Address,Endereço,
"Address Display","Exibição de endereços",
"Address Line 1","Linha de endereço 1",
"Address Line 2","Linha de endereço 2",
"Address Name",,
"Administrative Expenses","Despesas administrativas",
All,,
Amount,Montante,
"Amount Paid",,
"Amount: ${0} and writeoff: ${1} is less than the total amount allocated to references: ${2}.","Montante: ${0} e anulação: ${1} é menor do que o montante total atribuído às referências: ${2}.",
"Amount: ${0} is less than the total amount allocated to references: ${1}.","Montante: ${0} é menor do que o montante total atribuído às referências: ${1}.",
Amounts,,
"An entry is cancelled only if it is in the submitted state.",,
"An entry is submitted only if it is submittable and is in the saved state.",,
"An error occurred.","Ocorreu um erro.",
"Applicable anywhere in Frappe Books",,
"Applicable when Quick Search is open",,
"Applicable when Template Builder is open",,
"Applicable when a entry is open in the Form view or Quick Edit view",,
"Applicable when the List View of an entry type is open",,
"Application of Funds (Assets)","Aplicação de Fundos (Activos)",
"Apply Discount After Tax",,
"Apply and view changes made to the print template",,
April,,
Arial,,
"Ascending Order",,
Asset,,
"Attach Image",,
Attachment,,
August,,
"Auto Payments",,
"Auto Stock Transfer",,
Autocomplete,,
Back,,
"Back Reference",,
"Bad import data, could not read file.",,
Balance,Balanço,
"Balance Amount",,
"Balance Sheet",Balanço,
Bank,,
"Bank Accounts","Contas bancárias",
"Bank Entry",,
"Bank Name","Nome do Banco",
"Bank Overdraft Account","Conta de descoberto bancário",
Barcode,,
"Base Grand Total",,
"Based On",,
Batch,,
"Batch not set for row ${0}.",,
"Batch set for row ${0}.",,
"Bill Created","Projecto de Lei Criado",
Billing,,
Black,Preto,
Blue,,
Both,,
"Both From and To Location cannot be undefined",,
Buildings,Edifícios,
Cancel,Cancelar,
"Cancel ${0}?",,
"Cancel or Delete an entry.",,
Cancelled,Cancelado,
"Cannot Commit Error",,
"Cannot Delete",,
"Cannot Delete Account",,
"Cannot Export",,
"Cannot Import",,
"Cannot Open File",,
"Cannot cancel ${0} ${1} because of the following ${2}: ${3}",,
"Cannot cancel ${0} because of the following ${1}: ${2}",,
"Cannot delete ${0} ""${1}"" because of linked entries.",,
"Cannot open file",,
"Cannot perform operation.",,
"Cannot read file",,
"Capital Equipments","Equipamentos de Capital",
"Capital Stock","Capital social",
Cash,Dinheiro,
"Cash Denominations",,
"Cash Entry",,
"Cash In Hand","Dinheiro em Mão",
Cashflow,Cashflow,
"Central Tax","Imposto Central",
"Change DB",,
"Change File",,
"Change Ref Type",,
"Changes made to settings will be visible on reload.",,
Chargeable,,
"Chart Of Accounts Reviewed","Plano de Contas Revisado",
"Chart of Accounts","Plano de contas",
Check,,
Cheque,,
"City / Town","Cidade / Cidade",
Clear,,
"Clearance Date","Data de Apuramento",
Close,Fechar,
"Close Frappe Books and try manually.",,
"Close POS Shift",,
"Close Quick Search",,
Closing,,
"Closing ${0} Amount can not be negative.",,
"Closing (Cr)","Encerramento (Cr)",
"Closing (Dr)","Encerramento (Dr)",
"Closing Amount",,
"Closing Cash In Denominations",,
"Closing Date",,
Collapse,,
Color,Cor,
"Commission on Sales","Comissão de Vendas",
Common,Comum,
Company,,
"Company Logo","Logótipo da empresa",
"Company Name","Nome da empresa",
"Company Setup","Constituição de empresa",
Completed,Concluído,
Condition,,
"Consolidate Columns",,
Contacts,,
Contains,Contém,
"Continue submitting Sales Invoice?",,
"Contra Entry",,
"Conversion Error",,
"Conversion Factor",,
"Cost Of Goods Sold Acc.",,
"Cost of Goods Sold","Custo dos bens vendidos",
"Could not connect to database file ${0}, please select the file manually",,
Count,,
"Counter Cash Account",,
Country,País,
"Country Code",,
"Country code used to initialize regional settings.",,
Courier,,
Cr.,,
"Cr. ${0}",,
Create,Criar,
"Create Demo",,
"Create Purchase",,
"Create Purchase Invoice",,
"Create Sale",,
"Create Sales Invoice",,
"Create a demo company to try out Frappe Books",,
"Create a new company and store it on your computer",,
"Create a new company or select an existing one from your computer",,
"Create a new entry of the same type as the List View",,
"Create new ${0} entry?",,
"Create your first purchase invoice from the created supplier",,
"Create your first sales invoice for the created customer",,
Created,,
"Created By",,
"Creating Items and Parties",,
"Creating Journal Entries",,
"Creating Purchase Invoices",,
Credit,Crédito,
"Credit Card Entry",,
"Credit Note",,
Creditors,Credores,
Currency,Moeda,
"Currency Name","Nome da moeda",
Current,Actual,
"Current Assets","Activos correntes",
"Current Liabilities","Passivo corrente",
"Custom Field",,
"Custom Fields",,
"Custom Form",,
"Custom Hex","Hextrus personalizados",
Customer,Cliente,
"Customer Created","Cliente Criado",
"Customer Currency","Moeda do cliente",
Customers,Clientes,
Customizations,,
"Customize Form",,
"Customize your invoices by adding a logo and address details",,
Dashboard,"Painel de instrumentos",
Data,,
"Database Error",,
"Database file: ${0}",,
Date,Data,
"Date Format","Formato da data",
"Date Time",,
Day,,
Debit,Débito,
"Debit Note",,
Debtors,Devedores,
December,,
"Decrease print template display scale",,
Default,,
"Default Account","Conta por defeito",
"Default Cash Denominations",,
"Default Location",,
Defaults,,
Delete,Eliminar,
"Delete ${0}?",,
"Delete Account",,
"Delete Failed",,
"Delete Group",,
Delivered,,
Denomination,,
Depreciation,Depreciação,
"Depreciation Entry",,
Description,Descrição,
Details,Detalhes,
"Difference Amount",,
"Direct Expenses","Despesas directas",
"Direct Income","Rendimento directo",
"Directory for database file ${0} does not exist, please select the file manually",,
Disabled,,
"Discount Account",,
"Discount Account is not set.",,
"Discount Amount",,
"Discount Amount (${0}) cannot be greated than Amount (${1}).",,
"Discount Percent",,
"Discount Percent (${0}) cannot be greater than 100.",,
"Discounted Amount",,
Discounts,,
"Display Doc",,
"Display Logo in Invoice","Mostrar logótipo na factura",
"Display Precision","Precisão de visualização",
"Display Precision should have a value between 0 and 9.","Mostrar Precisão deve ter um valor entre 0 e 9.",
"Display Scale",,
"Dividends Paid","Dividendos pagos",
"Doc ${0} ${1} not set",,
Docs,,
Documentation,Documentação,
"Does Not Contain","Não Contém",
Done,,
Dr.,,
"Dr. ${0}",,
Draft,,
Duplicate,,
"Duplicate Entry",,
"Duplicate Template",,
"Duplicate columns found: ${0}",,
"Duties and Taxes","Deveres e Impostos",
"Dynamic Link",,
"Earnest Money","Ganhar dinheiro",
"Electronic Equipments","Equipamentos electrónicos",
Email,Email,
"Email Address","Endereço de correio electrónico",
Empty,Vazio,
"Empty file selected",,
"Enable Barcodes",,
"Enable Batches",,
"Enable Discount Accounting",,
"Enable Form Customization",,
"Enable Inventory",,
"Enable Invoice Returns",,
"Enable Point of Sale",,
"Enable Price List",,
"Enable Serial Number",,
"Enable Stock Returns",,
"Enable UOM Conversion",,
Enabled,,
"Enabled For",,
"Enter Country to load States",,
"Enter State",,
"Enter barcode",,
"Entertainment Expenses","Despesas de Entretenimento",
Entry,,
"Entry Currency",,
"Entry Label",,
"Entry No",,
"Entry No.",,
"Entry Type","Tipo de entrada",
"Entry has Grand Total ${0}. Please verify amounts.",,
Equity,Equidade,
Error,Erro,
"Exchange Gain/Loss","Ganho/perda cambial",
"Exchange Rate","Taxa de Câmbio",
"Excise Entry",,
"Existing Company",,
Expand,,
"Expected Amount",,
Expense,Despesa,
"Expense Account",,
Expenses,Despesas,
"Expenses Included In Valuation","Despesas Incluídas na Avaliação",
"Expiry Date",,
Export,,
"Export Failed",,
"Export Format",,
"Export Successful","Exportação bem sucedida",
"Export Wizard",,
Failed,,
Fax,Fax,
Features,,
February,,
Field,,
Fieldname,Fieldname,
"Fieldname ${0} already exists for ${1}",,
"Fieldname ${0} already used for Custom Field ${1}",,
Fieldtype,,
"File ${0} does not exist.",,
"File selection failed",,
