${0},,
"${0} ${1} already exists.","${0} ${1} finns redan.",
"${0} ${1} does not exist","${0} ${1} existerar inte",
"${0} ${1} has been modified after loading please reload entry.",,
"${0} ${1} is linked with existing records.","${0} ${1} är kopplad till befintliga poster.",
"${0} account not set in Inventory Settings.","${0} Kontot är inte inställt i inventeringsinställningar.",
"${0} already saved",,
"${0} already submitted",,
"${0} cancelled",,
"${0} cannot be cancelled",,
"${0} cannot be deleted",,
"${0} deleted",,
"${0} entries failed",,
"${0} entries imported",,
"${0} entry failed",,
"${0} entry imported",,
"${0} fields selected","${0} valda fält",
"${0} filters applied","${0} Filter tillämpade",
"${0} has linked child accounts.",,
"${0} of type ${1} does not exist","${0} av typ ${1} finns inte",
"${0} out of ${1}","${0} av ${1}",
"${0} party ${1} is different from ${2}","${0} Party ${1} skiljer sig från ${2}",
"${0} quantity 1 added.",,
"${0} row added.",,
"${0} rows","${0} rader",
"${0} rows added.",,
"${0} saved",,
"${0} shortcuts",,
"${0} stored at ${1}",,
"${0} submitted",,
"${0} value ${1} does not exist.","${0} värde ${1} finns inte.",
0%,0%,
03-23-2022,03-23-2022,
03/23/2022,03/23/2022,
"1 filter applied","1 filter applicerat",
2022-03-23,2022-03-23,
"23 Mar, 2022","23 mar, 2022",
23-03-2022,23-03-2022,
23.03.2022,23.03.2022,
23/03/2022,23/03/2022,
9888900000,9888900000,
"A submittable entry is deleted only if it is in the cancelled state.",,
Account,konto,
"Account ${0} does not exist.","Konto ${0} finns inte.",
"Account Entries",Kontoposter,
"Account Name",Kontonamn,
"Account Type",Kontotyp,
Accounting,,
"Accounting Entries",Redovisningsposter,
"Accounting Ledger Entry",Bokföringsbok,
"Accounting Settings",Bokföringsinställningar,
Accounts,Konton,
"Accounts Payable","Konton som ska betalas",
"Accounts Receivable",Kundfordringar,
"Accumulated Depreciation","Ackumulerade avskrivningar",
Action,,
Active,,
"Add Account","Lägg till konto",
"Add Customers","Lägga till kunder",
"Add Group","Lägg till grupp",
"Add Items","Lägg till objekt",
"Add Row","Lägg till rad",
"Add Suppliers","Lägga till leverantörer",
"Add Taxes","Lägga till skatter",
"Add a few customers to create your first sales invoice","Lägg till några kunder för att skapa din första försäljningsfaktura",
"Add a few suppliers to create your first purchase invoice","Lägg till några leverantörer för att skapa ditt första köpfaktura",
"Add a filter","Lägg till ett filter",
"Add a remark","Lägg till en kommentar",
"Add attachment","Bifoga fil",
"Add invoice terms","Lägg till fakturavillkor",
"Add products or services that you buy from your suppliers","Lägg till produkter eller tjänster som du köper från dina leverantörer",
"Add products or services that you sell to your customers","Lägg till produkter eller tjänster som du säljer till dina kunder",
